ids,capacity,active,draft
7024,24,TRUE,2020
7098,24,TRUE,2020
7022,24,TRUE,2020
7050,24,TRUE,2020
7090,24,TRUE,2020
7071,24,TRUE,2020
5521,24,TRUE,2020
6009,24,TRUE,2020
7106,24,TRUE,2020
7023,24,TRUE,2020
7232,24,TRUE,2020
7234,24,TRUE,2020
7075,24,TRUE,2020
7072,24,TRUE,2020
6756,24,TRUE,2020
5384,24,TRUE,2020
7097,24,TRUE,2020
7111,24,TRUE,2020
7069,24,TRUE,2020
5481,24,TRUE,2020
7057,24,TRUE,2020
6178,24,TRUE,2020
6535,24,TRUE,2020
6999,24,TRUE,2020
6981,24,TRUE,2020
5441,24,TRUE,2020
6800,24,TRUE,2020
5403,24,TRUE,2020
5368,24,TRUE,2020
7041,24,TRUE,2020
7006,24,TRUE,2020
6101,24,TRUE,2020
6988,24,TRUE,2020
5491,24,TRUE,2020
7250,24,TRUE,2020
6876,24,TRUE,2020
5452,24,TRUE,2020
5365,24,TRUE,2020
6234,24,TRUE,2020
6920,24,TRUE,2020
6021,24,TRUE,2020
5361,24,TRUE,2020
6930,24,TRUE,2020
7079,24,TRUE,2020
6096,24,TRUE,2020
6074,24,TRUE,2020
6087,24,TRUE,2020
6977,24,TRUE,2020
6743,24,TRUE,2020
7047,24,TRUE,2020
6285,24,TRUE,2020
7021,24,TRUE,2020
6213,24,TRUE,2020
6202,24,TRUE,2021
5421,25,TRUE,2020
6207,25,TRUE,2020
5476,25,TRUE,2020
5478,25,TRUE,2020
6016,25,TRUE,2020
5418,25,TRUE,2020
5444,25,TRUE,2020
6162,25,TRUE,2021
6267,25,TRUE,2021
6772,25,TRUE,2022
6783,25,TRUE,2022
7236,26,TRUE,2020
5312,26,TRUE,2020
6091,26,TRUE,2020
6217,26,TRUE,2021
6227,26,TRUE,2021
6053,26,TRUE,2021
6546,27,TRUE,2020
6220,27,TRUE,2021
5533,28,TRUE,2020
6046,28,TRUE,2021
6151,28,TRUE,2021
6287,28,TRUE,2021
6094,28,TRUE,2021
6246,28,TRUE,2021
6777,28,TRUE,2022
5351,30,TRUE,2020
5518,30,TRUE,2020
6199,30,TRUE,2021
6239,30,TRUE,2021
6174,30,TRUE,2021
6105,30,TRUE,2021
6173,30,TRUE,2021
5356,31,TRUE,2020
6027,31,TRUE,2020
5528,32,TRUE,2020
6018,32,TRUE,2020
5443,32,TRUE,2020
6208,32,TRUE,2021
6253,32,TRUE,2021
6093,32,TRUE,2021
6075,32,TRUE,2021
6273,32,TRUE,2021
6232,32,TRUE,2021
6744,32,TRUE,2021
6972,32,TRUE,2022
6167,33,TRUE,2021
5357,34,TRUE,2020
6280,34,TRUE,2021
6106,34,TRUE,2021
6290,34,TRUE,2021
6180,34,TRUE,2021
6179,34,TRUE,2021
6225,35,TRUE,2021
6200,35,TRUE,2021
6059,35,TRUE,2021
6193,35,TRUE,2021
6262,35,TRUE,2021
6543,36,TRUE,2020
6263,36,TRUE,2021
6158,36,TRUE,2021
6126,36,TRUE,2021
6061,37,TRUE,2021
6049,38,TRUE,2021
6282,40,TRUE,2020
6218,40,TRUE,2021
7252,40,TRUE,2021
6040,40,TRUE,2021
6185,40,TRUE,2021
6118,40,TRUE,2021
6936,40,TRUE,2021
6991,40,TRUE,2021
7257,40,TRUE,2021
6226,40,TRUE,2021
7248,40,TRUE,2021
6921,40,TRUE,2021
6229,40,TRUE,2021
6895,40,TRUE,2021
6769,40,TRUE,2022
7107,42,TRUE,2020
6170,42,TRUE,2020
6242,42,TRUE,2021
6228,42,TRUE,2021
7025,43,TRUE,2020
6054,45,TRUE,2021
6203,45,TRUE,2021
5435,46,TRUE,2020
6157,46,TRUE,2020
5513,47,TRUE,2020
5510,47,TRUE,2020
5375,47,TRUE,2020
7087,48,TRUE,2020
7043,48,TRUE,2020
7033,48,TRUE,2020
6527,48,TRUE,2020
6528,48,TRUE,2020
6530,48,TRUE,2020
6531,48,TRUE,2020
5383,48,TRUE,2020
5374,48,TRUE,2020
5395,48,TRUE,2020
6532,48,TRUE,2020
5405,48,TRUE,2020
7062,48,TRUE,2020
7094,48,TRUE,2020
6252,48,TRUE,2020
5372,48,TRUE,2020
5432,48,TRUE,2020
5487,48,TRUE,2020
5386,48,TRUE,2020
7065,48,TRUE,2020
7054,48,TRUE,2020
5401,48,TRUE,2020
6533,48,TRUE,2020
7102,48,TRUE,2020
7116,48,TRUE,2020
5457,48,TRUE,2020
7112,48,TRUE,2020
5442,48,TRUE,2020
6109,48,TRUE,2020
5526,48,TRUE,2020
