kgName,kinderGardenId,kgExternal,kgMapUrl,selectedRegionId,selectedRegionRegionName
СДЯ №46 Мики Маус,254,46,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.677916,23.331045&spn=0.003731,0.006416",9,Лозенец
ДГ №111 Корабче,181,111,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.672043,23.328331&spn=0.002378,0.005681&iwloc=lyrftr:msid:215514434165803826755.00044d55fe12e68875c38,00044d92452ae0aa4d3f8,,,0,-31",9,Лозенец
ДГ №141 Славейкова поляна,130,141,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.67637,23.329071&spn=0.001869,0.003626&t=h&z=18&iwloc=00044de0086f2ba6dfe48",9,Лозенец
ДГ №141 Славейкова поляна - сграда 2,170,141,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.67807,23.32575&spn=0.001869,0.003626&t=h&z=18&iwloc=00044da8263681e92ed6f",9,Лозенец
ДГ №166 Веселушка,21,166,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.673069,23.317848&spn=0.00187,0.003626&t=h&z=18&iwloc=00044de22433371ae6598",9,Лозенец
ДГ №174 Фют,153,174,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.666691,23.321475&spn=0.00187,0.003626&t=h&z=18&iwloc=00044de2ce50f792a5c48",9,Лозенец
ДГ №175 Слънчеви лъчи (с яслени групи),298,175,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.655519,23.333802&spn=0.0049,0.011362",9,Лозенец
ДГ №175 Слънчеви лъчи - сграда 2,688,175,,9,Лозенец
ДГ №192 Лозичка,82,192,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.681544,23.324119&spn=0.001869,0.003626&t=h&z=18&iwloc=00044dcca661012b43f3e",9,Лозенец
ДГ №193 Славейче,132,193,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.668722,23.316277&spn=0.00187,0.003626&t=h&z=18&iwloc=00044dccc5c646c5dde5a",9,Лозенец
ДГ №2 Звънче (с яслени групи),54,2,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.669831,23.296793&spn=0.00187,0.003626&t=h&z=18&iwloc=00044d900f13845958459",10,Триадица
ДГ №7 Детелина (с яслени групи),29,7,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.662391,23.299052&spn=0.00187,0.003626&t=h&z=18&iwloc=00044d91146130e33c98a",10,Триадица
